Ticker,last_date,current_price,rating_group,ml_var5_price_1q,ml_min_price_1q,ml_var5_price_2q,ml_min_price_2q,breakeven_price_rating_1q,breakeven_price_rating_2q,mc_min_p5_1q,mc_min_p3_1q,mc_min_p1_1q,mc_min_p01_1q,mc_min_p5_2q,mc_min_p3_2q,mc_min_p1_2q,mc_min_p01_2q,dd_q05_1q,dd_q03_1q,dd_q01_1q,dd_q001_1q,dd_q05_2q,dd_q03_2q,dd_q01_2q,dd_q001_2q
ABR,2025-11-17,13.4,B,10.208214527368545,7.157314938306809,9.221427094936372,6.145738983154297,4.925421199202538,4.305701541900635,0.09760200160097089,0.0388760960006059,0.0032782168059747223,0.00010299935145145177,0.05906133968573446,0.025938026319614005,0.004012708224374383,8.10931825196464e-06,-0.23819294571876526,-0.2648625075817108,-0.34446561336517334,-0.46587201952934265,-0.31183379888534546,-0.3573579788208008,-0.42384839057922363,-0.5413627624511719
ABS,2025-11-17,3.15,B,1.8992069050669669,1.207663133740425,1.5407321512699126,0.8833921104669571,0.886542820930481,0.6966774523258209,3.8524370899415084e-37,1.5899446985182105e-38,9.429137415277863e-41,8.348893253129024e-44,3.6075775869801034e-70,1.0217971970834147e-71,1.7623636107047124e-75,1.253689483302409e-81,-0.39707717299461365,-0.4371156692504883,-0.5091601014137268,-0.6166148781776428,-0.5108786821365356,-0.5576651096343994,-0.6309272050857544,-0.71955806016922
ABT,2025-11-17,70.2,A,56.536053675413136,46.14612298607826,53.1413968116045,42.221392232179646,28.268026837706568,26.57069840580225,68.03525894131435,53.102287869279465,35.824368725074116,20.543204833523006,63.706300591988054,49.61990847859339,33.40416092051861,15.843132076459366,-0.19464311003684998,-0.23800544440746307,-0.3046908378601074,-0.34264782071113586,-0.24300004541873932,-0.2840266525745392,-0.3232763111591339,-0.3985556662082672
ABW,2025-11-17,10.7,B,7.503797701001167,5.197244590520858,6.74139759838581,4.276854902505875,3.5130435749888416,3.197308032214641,1.4508752553972065e-11,3.196977427286921e-12,5.3079370448217816e-14,2.184846869440455e-17,3.249287329944957e-19,1.2437873993223407e-20,2.7281192151158696e-23,4.056940248148087e-28,-0.29871049523353577,-0.34335634112358093,-0.4159855544567108,-0.5142762064933777,-0.3699628412723541,-0.4023723304271698,-0.48693373799324036,-0.6002939343452454
ACB,2025-11-17,25.15,A,17.8635337844491,15.684209482371806,16.40637185871601,13.983443328738211,8.93176689222455,8.203185929358005,9.626240306822135,7.363203277284934,3.4905389454160907,1.403785982963585,8.752767071343396,6.433887674731207,3.618122760847873,1.111024343347241,-0.2897203266620636,-0.3187412619590759,-0.3466058373451233,-0.37637338042259216,-0.347659170627594,-0.3671756088733673,-0.41270196437835693,-0.4439982771873474
ACC,2025-11-17,13.35,B,10.63314546123147,7.662978789210319,9.631433902680874,6.433480069041252,5.026499135792255,4.486634775996208,0.01095444417522549,0.0034310452978266546,0.00020214067111397823,2.3307443189622777e-06,0.019545328172262857,0.005696028491155062,0.00017549492975809581,4.5119267365187863e-07,-0.20350970327854156,-0.2469664216041565,-0.3149549961090088,-0.4259940981864929,-0.27854427695274353,-0.3278449773788452,-0.40672120451927185,-0.5180913805961609
ACE,2025-11-17,42.9,B,33.253746463358404,22.467559710144997,30.09683921635151,19.09509724974632,15.66468333005905,13.732968659698964,36.8230338910223,30.61938972453339,19.269225739481534,7.672079762354818,43.116388517619995,34.82892797156893,19.34567797942834,10.543347542345726,-0.22485439479351044,-0.2697117328643799,-0.3512341380119324,-0.47628065943717957,-0.29844197630882263,-0.3597683608531952,-0.43437227606773376,-0.5548928380012512
ACG,2025-11-17,35.85,B,28.55424765273929,20.035242256522178,25.86941862255335,17.33069298863411,13.57246308065951,12.070129537582398,11.8871161359585,8.567692744186772,4.395130264226416,1.1117896421443159,11.115393375663535,7.972768968744655,4.33211774688551,1.4203555943610442,-0.20350773632526398,-0.24281935393810272,-0.3231121599674225,-0.44113689661026,-0.2783983647823334,-0.3266315460205078,-0.40743592381477356,-0.5165776014328003
ACL,2025-11-17,13.25,B,10.34050465375185,7.609175957739353,9.43461736291647,6.376356214284897,4.936141338199377,4.4583241529762745,2.6416892711935918e-05,5.73696028686744e-06,1.311906601672334e-07,1.2182587787100152e-09,2.1706497430591718e-06,1.6448215557895338e-07,1.567565895938365e-09,1.5152357716073994e-12,-0.21958455443382263,-0.2549220621585846,-0.30759096145629883,-0.42572256922721863,-0.2879534065723419,-0.32704541087150574,-0.40369197726249695,-0.5187655687332153
ACM,2025-11-17,0.5,B,0.4013601094484329,0.29497167468070984,0.39936724305152893,0.2959488183259964,0.19903776794672012,0.19721153005957603,2.1223331833714944e-90,2.0402015858305618e-91,5.153672750842858e-93,1.5008009255335548e-96,2.0951438055771158e-176,5.301987955666188e-178,5.873615237697335e-181,5.325483849601396e-185,-0.19727978110313416,-0.2038489282131195,-0.26530909538269043,-0.4100566506385803,-0.20126551389694214,-0.21115387976169586,-0.3143928647041321,-0.4081023633480072
