Ticker,last_date,current_price,horizon,ml_pred,mc_p5,mc_median,mc_p95,mu,sigma
ABB,2025-11-17,14.8,30d,14.566412878628725,12.282169715957716,15.276700626209529,19.031696207115147,0.0010456390105570623,0.02436923012773746
ABC,2025-11-17,11.6,1d,11.637650248934461,11.228547062712453,11.61975413270962,12.03639887100814,0.0018199881994165315,0.021201631255450548
ABC,2025-11-17,11.6,3d,11.685333599623851,10.977297648667939,11.65290297062564,12.389219923608529,0.0018199881994165315,0.021201631255450548
ABC,2025-11-17,11.6,7d,11.737311697678983,10.720593730657466,11.751998803517711,12.910314874930542,0.0018199881994165315,0.021201631255450548
ABC,2025-11-17,11.6,30d,11.754906340450852,10.07175039829776,12.238019320223676,14.85205651163233,0.0018199881994165315,0.021201631255450548
ABI,2025-11-17,20.2,1d,20.271238397082804,18.58156888913812,20.060455865463346,21.644392466804486,-0.006198415193597712,0.04584035773544061
ABI,2025-11-17,20.2,3d,20.23980553728683,17.36494365764843,19.81907919733674,22.581197793296344,-0.006198415193597712,0.04584035773544061
ABI,2025-11-17,20.2,7d,20.285084649554623,15.865788074225373,19.324469009544462,23.603409490995205,-0.006198415193597712,0.04584035773544061
ABI,2025-11-17,20.2,30d,20.282690224068883,11.063141304238252,16.61892400044897,25.23717082118766,-0.006198415193597712,0.04584035773544061
ABR,2025-11-17,13.4,1d,13.442877059097768,12.60945183070418,13.398218358614855,14.23410123669294,7.112366251504908e-18,0.03714028226294567
ABR,2025-11-17,13.4,3d,13.447946997562706,12.06021557296089,13.398614875777332,14.883444817634524,7.112366251504908e-18,0.03714028226294567
ABR,2025-11-17,13.4,7d,13.465005913861308,11.40003706018272,13.390112508039618,15.79800225819,7.112366251504908e-18,0.03714028226294567
ABR,2025-11-17,13.4,30d,13.621966354366862,9.551621838287906,13.458254498211737,18.59005587893863,7.112366251504908e-18,0.03714028226294567
ABS,2025-11-17,3.15,1d,3.168447739046124,3.036522264487889,3.1406235140275096,3.248737299355392,-0.003126643564913293,0.020673495234990628
ABS,2025-11-17,3.15,3d,3.1766023031351946,2.94054651454583,3.1206844497339397,3.3109194321128457,-0.003126643564913293,0.020673495234990628
ABS,2025-11-17,3.15,7d,3.251566204855577,2.8134677977026223,3.0794895957316895,3.37234960276307,-0.003126643564913293,0.020673495234990628
ABS,2025-11-17,3.15,30d,3.2265279668396833,2.380051560485162,2.8638593674578314,3.4691195994105994,-0.003126643564913293,0.020673495234990628
ABT,2025-11-17,70.2,1d,70.53257721857571,67.76088201050258,70.36531640434504,73.06924089060321,0.002097135522353579,0.023011773944836274
ABT,2025-11-17,70.2,3d,70.42436186039725,66.26663551176917,70.65419815504583,75.35794437844442,0.002097135522353579,0.023011773944836274
ABT,2025-11-17,70.2,7d,70.66209335708558,64.42502817401473,71.2584826027569,78.77615237587075,0.002097135522353579,0.023011773944836274
ABT,2025-11-17,70.2,30d,70.58006589370892,60.90780637321106,74.63438195266674,91.70153731726684,0.002097135522353579,0.023011773944836274
ABW,2025-11-17,10.7,1d,10.785135963672802,10.209637937022247,10.67341261353279,11.151431971965765,-0.0024575455190521778,0.026515883241606593
ABW,2025-11-17,10.7,3d,10.848401030610766,9.84698201437636,10.62032004157157,11.467595494723318,-0.0024575455190521778,0.026515883241606593
ABW,2025-11-17,10.7,7d,10.847462059442547,9.37836557296412,10.521437534841692,11.798651179719489,-0.0024575455190521778,0.026515883241606593
ABW,2025-11-17,10.7,30d,10.95334400469448,7.837521196539576,9.927552901319341,12.617294744052813,-0.0024575455190521778,0.026515883241606593
ACB,2025-11-17,25.15,1d,25.124926433485467,24.366918773546807,25.082547689414156,25.8144607387084,-0.002630600225864131,0.017547190038803742
ACB,2025-11-17,25.15,3d,25.119556739675307,23.75143524044233,24.939692209917027,26.241786093171036,-0.002630600225864131,0.017547190038803742
ACB,2025-11-17,25.15,7d,25.02539080209754,22.84808759576066,24.692524920034167,26.634015934180322,-0.002630600225864131,0.017547190038803742
ACB,2025-11-17,25.15,30d,25.006282632819467,19.85766070774338,23.23897270720564,27.33570957756079,-0.002630600225864131,0.017547190038803742
ACC,2025-11-17,13.35,1d,13.403937620523074,13.107475194072935,13.339933607006955,13.571617905596023,-0.0007923490794833308,0.010751429878253551
ACC,2025-11-17,13.35,3d,13.431972344866624,12.913722911335006,13.318011825751263,13.731972495443044,-0.0007923490794833308,0.010751429878253551
ACC,2025-11-17,13.35,7d,13.4593637201441,12.673751329391871,13.277320324455594,13.915785381829155,-0.0007923490794833308,0.010751429878253551
ACC,2025-11-17,13.35,30d,13.621966354366862,11.83402859644978,13.029972403839764,14.383788445160091,-0.0007923490794833308,0.010751429878253551
ACE,2025-11-17,42.9,1d,42.60574162630676,41.741603399130234,42.953125899630976,44.18893462981337,0.0012082583673025582,0.017351874923380407
ACE,2025-11-17,42.9,3d,42.56012155726932,40.940151352265396,43.027069209084814,45.170960132704664,0.0012082583673025582,0.017351874923380407
ACE,2025-11-17,42.9,7d,42.490372593474234,40.10417087390136,43.277896875035275,46.710078671413584,0.0012082583673025582,0.017351874923380407
ACE,2025-11-17,42.9,30d,42.66593910285925,38.063289066271246,44.41160372232413,52.056603358244864,0.0012082583673025582,0.017351874923380407
ACG,2025-11-17,35.85,1d,35.788894382985994,35.30415601313445,35.831135557945366,36.35876778712755,-0.00070545228958095,0.008905298859731044
ACG,2025-11-17,35.85,3d,35.735693258824305,34.87833440888015,35.776636371051055,36.6941483818529,-0.00070545228958095,0.008905298859731044
ACG,2025-11-17,35.85,7d,35.73681861075445,34.30851796463377,35.68504762887159,37.06949694878153,-0.00070545228958095,0.008905298859731044
ACG,2025-11-17,35.85,30d,35.851991690136806,32.39360929299691,35.1049559609688,38.02905272246873,-0.00070545228958095,0.008905298859731044
ACL,2025-11-17,13.25,1d,13.301497175688873,12.837638368842688,13.268807298905763,13.717179465284845,0.0013760266782170078,0.020110376226733572
ACL,2025-11-17,13.25,3d,13.344215639946347,12.565769886046814,13.320027692337357,14.104338194864681,0.0013760266782170078,0.020110376226733572
ACL,2025-11-17,13.25,7d,13.220867380311278,12.255026507347187,13.36901144097563,14.611725696815386,0.0013760266782170078,0.020110376226733572
ACL,2025-11-17,13.25,30d,13.355788160661419,11.52482915039079,13.802609959298772,16.578838670137003,0.0013760266782170078,0.020110376226733572
ACM,2025-11-17,0.5,1d,0.4675531378479991,0.43162375225001415,0.49853944337112754,0.5765017040409455,-0.0030386926132325723,0.08831265337160323
ACM,2025-11-17,0.5,3d,0.4689588792899906,0.3845662653044863,0.49480909098725906,0.6361151329716234,-0.0030386926132325723,0.08831265337160323
ACM,2025-11-17,0.5,7d,0.4711923095731989,0.3341099769432897,0.4888143254059501,0.7138682744791033,-0.0030386926132325723,0.08831265337160323
ACM,2025-11-17,0.5,30d,0.4786023545418919,0.206314231429764,0.4569352466658646,1.016527582796332,-0.0030386926132325723,0.08831265337160323
ACS,2025-11-17,4.7,1d,4.6210069664946305,4.326963078708082,4.6851652765719844,5.066490665713785,-0.004069949341867363,0.04822803201738487
ACS,2025-11-17,4.7,3d,4.6206663504711,4.060143991668935,4.64218027880089,5.3224009854752845,-0.004069949341867363,0.04822803201738487
ACS,2025-11-17,4.7,7d,4.707161616854102,3.6928876377593176,4.55894683131484,5.601785449340661,-0.004069949341867363,0.04822803201738487
ACS,2025-11-17,4.7,30d,4.821568788653063,2.694542156805457,4.147175281625673,6.423385658159075,-0.004069949341867363,0.04822803201738487
ACV,2025-11-17,54.8,1d,54.603676335165154,53.36795034151522,54.670583467362256,56.056741449034874,-0.0021912727131397657,0.014791455162398636
ACV,2025-11-17,54.8,3d,54.61496546532418,52.17597561010244,54.43998643445292,56.74491616471336,-0.0021912727131397657,0.014791455162398636
ACV,2025-11-17,54.8,7d,54.918099915697326,50.5085266021973,53.97403805123723,57.48496151715651,-0.0021912727131397657,0.014791455162398636
ACV,2025-11-17,54.8,30d,56.24126044037552,44.820364266323914,51.34633497017266,58.68768638474251,-0.0021912727131397657,0.014791455162398636
ADC,2025-11-17,20.2,1d,20.271238397082804,19.603479897016513,20.222318784348253,20.84141658291097,0.001020727087345308,0.018498350062308083
ADC,2025-11-17,20.2,3d,20.23980553728683,19.226974315599872,20.2675208526024,21.350209469733386,0.001020727087345308,0.018498350062308083
ADC,2025-11-17,20.2,7d,20.28508464955463,18.778159678237706,20.35719190206294,22.054884830694366,0.001020727087345308,0.018498350062308083
ADC,2025-11-17,20.2,30d,20.20302333370731,17.660216228193054,20.835759943293947,24.62134939926615,0.001020727087345308,0.018498350062308083
ADG,2025-11-17,9.3,1d,9.320184298705588,8.983496406268042,9.29062860924934,9.601188885458164,-0.0012095115472472576,0.0201269424229264
ADG,2025-11-17,9.3,3d,9.319247559134267,8.74198236967718,9.262328046225983,9.810269476814256,-0.0012095115472472576,0.0201269424229264
ADG,2025-11-17,9.3,7d,9.330958856737848,8.458799540062168,9.226554948819366,10.058209268503042,-0.0012095115472472576,0.0201269424229264
ADG,2025-11-17,9.3,30d,9.400601942466736,7.460913889946997,8.954918186634107,10.734945492694928,-0.0012095115472472576,0.0201269424229264
ADP,2025-11-17,23.45,1d,23.512420418197397,22.969149934164296,23.399414881896163,23.83569617964008,-0.0021632178418985863,0.011291065532293334
ADP,2025-11-17,23.45,3d,23.54763166643762,22.555302437836406,23.31094328274167,24.06543745753895,-0.0021632178418985863,0.011291065532293334
ADP,2025-11-17,23.45,7d,23.644981608417282,21.995490265389797,23.098042025273045,24.25241529667174,-0.0021632178418985863,0.011291065532293334
ADP,2025-11-17,23.45,30d,23.91459063442747,19.864847349243654,21.974368422445938,24.360343113435533,-0.0021632178418985863,0.011291065532293334
ADS,2025-11-17,8.27,1d,8.320776814454907,8.064225025673895,8.26141062321718,8.473486146883232,-0.0011673381214314681,0.015222105137306876
ADS,2025-11-17,8.27,3d,8.336461200994135,7.883659838781648,8.24079524912992,8.608176329242267,-0.0011673381214314681,0.015222105137306876
ADS,2025-11-17,8.27,7d,8.29603240145534,7.685313045446165,8.205774341983926,8.758678225024372,-0.0011673381214314681,0.015222105137306876
ADS,2025-11-17,8.27,30d,8.350771767098145,6.979482031824551,7.994384703116392,9.17651147498374,-0.0011673381214314681,0.015222105137306876
AFX,2025-11-17,13.1,1d,13.057210701641296,12.65942189428294,13.167680534541672,13.700704108451777,0.004667957884442697,0.0244329969727121
AFX,2025-11-17,13.1,3d,13.037250054824362,12.37664139615701,13.263596779372012,14.232761680814049,0.004667957884442697,0.0244329969727121
AFX,2025-11-17,13.1,7d,13.07772045592346,12.173712553004272,13.533410932990071,15.049649789870188,0.004667957884442697,0.0244329969727121
AFX,2025-11-17,13.1,30d,12.960283606392762,12.061001812887891,15.103688025452243,18.803646779739378,0.004667957884442697,0.0244329969727121
AG1,2025-11-17,11.3,1d,11.320379500026013,10.959759847604108,11.278670536756813,11.603431536189339,-0.0016820986431659976,0.017414903231115535
AG1,2025-11-17,11.3,3d,11.33511690609292,10.704178684031525,11.243875033278075,11.812644078674706,-0.0016820986431659976,0.017414903231115535
AG1,2025-11-17,11.3,7d,11.355235701489454,10.352521129304431,11.16606549957478,12.041231314069412,-0.0016820986431659976,0.017414903231115535
AG1,2025-11-17,11.3,30d,11.480794381116487,9.180685274246658,10.751849619404984,12.545168533758817,-0.0016820986431659976,0.017414903231115535
AGE,2023-09-21,9.1,1d,9.13823031872521,8.200149640506195,9.046206699760436,10.003006175061582,-0.004610537271086601,0.06061654925693856
AGE,2023-09-21,9.1,3d,9.173312848545937,7.528666032453474,8.973904657856078,10.631971105525652,-0.004610537271086601,0.06061654925693856
AGE,2023-09-21,9.1,7d,9.245511593879565,6.791200335163687,8.845019697307368,11.491669308952908,-0.004610537271086601,0.06061654925693856
AGE,2023-09-21,9.1,30d,9.2295522801547,4.5742982585583265,7.904905654349096,13.67527487784702,-0.004610537271086601,0.06061654925693856
AGF,2025-11-17,2.1,1d,2.0635161141685603,2.040292849924213,2.0983153119963904,2.1583506955998053,-0.0007753335939148827,0.01737645335166006
AGF,2025-11-17,2.1,3d,2.060762838458551,1.9954577924956471,2.095261089008961,2.2002680358665674,-0.0007753335939148827,0.01737645335166006
AGF,2025-11-17,2.1,7d,2.0486574430726616,1.9361755781858756,2.087721954719938,2.2556210426183556,-0.0007753335939148827,0.01737645335166006
AGF,2025-11-17,2.1,30d,2.0593497041214905,1.751520037371039,2.052269602237713,2.4015826906898994,-0.0007753335939148827,0.01737645335166006
AGG,2025-11-17,16.4,1d,16.37057170597222,15.816775117024564,16.333111261385042,16.84163485350447,-0.004120685048221164,0.019437738242142507
AGG,2025-11-17,16.4,3d,16.414464349928473,15.327141450983845,16.195568355918056,17.126705146366923,-0.004120685048221164,0.019437738242142507
AGG,2025-11-17,16.4,7d,16.321487668114905,14.636089044646656,15.936653727271882,17.3130305601257,-0.004120685048221164,0.019437738242142507
AGG,2025-11-17,16.4,30d,16.354262720947812,12.174678298146356,14.470488853435889,17.255251874291492,-0.004120685048221164,0.019437738242142507
AGM,2025-11-17,2.8,1d,2.8867393838564364,2.5948113813227853,2.7878900566099567,2.988184355530339,-0.0037190591885701654,0.042894989151698724
AGM,2025-11-17,2.8,3d,2.8946611041124184,2.453282271476279,2.768039031272448,3.1312411035566337,-0.0037190591885701654,0.042894989151698724
AGM,2025-11-17,2.8,7d,2.8847730813098402,2.2689448042310176,2.7232096071103378,3.2941831872772487,-0.0037190591885701654,0.042894989151698724
AGM,2025-11-17,2.8,30d,2.8732413302050133,1.685461477139726,2.5002711449403203,3.688831906136064,-0.0037190591885701654,0.042894989151698724
AGP,2025-11-17,40.9,1d,40.702572258782254,40.10354408695513,40.862731845462164,41.67048697990702,-0.0007568006589832569,0.011656165173102917
AGP,2025-11-17,40.9,3d,40.72513055635257,39.47074580498363,40.82106834604915,42.18528424783169,-0.0007568006589832569,0.011656165173102917
AGP,2025-11-17,40.9,7d,40.81127574682742,38.63331469158811,40.675392126745656,42.78285977012345,-0.0007568006589832569,0.011656165173102917
AGP,2025-11-17,40.9,30d,41.0982405932198,35.91156065580879,39.926553557902025,44.31429431913848,-0.0007568006589832569,0.011656165173102917
AGR,2025-11-17,15.95,1d,16.021782503097274,15.192932051341842,15.90658960679502,16.68098412991503,-0.002245104179960795,0.02844059428653631
AGR,2025-11-17,15.95,3d,16.01137050636447,14.609471012409257,15.83281470766371,17.203508812843157,-0.002245104179960795,0.02844059428653631
AGR,2025-11-17,15.95,7d,15.900241603709407,13.864223527482503,15.69270712736947,17.813003860977712,-0.002245104179960795,0.02844059428653631
AGR,2025-11-17,15.95,30d,16.14112801489714,11.493067936564273,14.898787156456613,19.281233257970186,-0.002245104179960795,0.02844059428653631
AGX,2025-11-17,151.1,1d,151.4752558592168,138.71605972321512,150.80365018558206,163.65260443578055,-0.0014667267436981116,0.05086272425523092
AGX,2025-11-17,151.1,3d,151.38252653096248,130.07963111102165,150.28654665532372,173.16358376231733,-0.0014667267436981116,0.05086272425523092
AGX,2025-11-17,151.1,7d,152.56234845683593,119.51877822612948,149.3715216566644,186.26494049601115,-0.0014667267436981116,0.05086272425523092
